occurred_at,actor_user_id,actor_label,entity_type,entity_id,action,before,after,reason,academic_year_id,ip,school_id,id,created_at,updated_at
2026-09-21 13:42:26.436696+05:30,399,Office Administrator,salary_structure,31,create,,"{""employee_id"": 45, ""monthly_gross"": ""42000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1385,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.449242+05:30,399,Office Administrator,salary_structure,32,create,,"{""employee_id"": 46, ""monthly_gross"": ""42000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1386,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.455463+05:30,399,Office Administrator,salary_structure,33,create,,"{""employee_id"": 47, ""monthly_gross"": ""32000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1387,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.463020+05:30,399,Office Administrator,salary_structure,34,create,,"{""employee_id"": 48, ""monthly_gross"": ""42000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1388,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.468636+05:30,399,Office Administrator,salary_structure,35,create,,"{""employee_id"": 49, ""monthly_gross"": ""32000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1389,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.475761+05:30,399,Office Administrator,salary_structure,36,create,,"{""employee_id"": 50, ""monthly_gross"": ""32000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1390,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.481467+05:30,399,Office Administrator,salary_structure,37,create,,"{""employee_id"": 51, ""monthly_gross"": ""42000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1391,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.486296+05:30,399,Office Administrator,salary_structure,38,create,,"{""employee_id"": 52, ""monthly_gross"": ""32000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1392,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.491631+05:30,399,Office Administrator,salary_structure,39,create,,"{""employee_id"": 53, ""monthly_gross"": ""32000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1393,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2026-09-21 13:42:26.497060+05:30,399,Office Administrator,salary_structure,40,create,,"{""employee_id"": 54, ""monthly_gross"": ""32000.00"", ""effective_from"": ""2026-04-01""}",,,,36,1394,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
