class_name,section,class_teacher_id,academic_year_id,capacity,stream,room,school_id,id,created_at,updated_at
10,A,45,49,20,,R-101,36,48,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
9,A,46,49,20,,R-102,36,49,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
8,A,47,49,20,,R-201,36,50,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
7,A,48,49,20,,R-202,36,51,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
6,A,49,49,20,,Lab-1,36,52,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
5,A,50,49,20,,Lab-2,36,53,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
4,A,51,49,20,,R-101,36,54,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
3,A,52,49,20,,R-102,36,55,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
2,A,53,49,20,,R-201,36,56,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
1,A,54,49,20,,R-202,36,57,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
