invoice_id,fee_head_id,description,amount,discount,school_id,id,created_at,updated_at
3903,8,Tuition Fee,2240.00,0.00,36,9651,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3903,9,Development Fee,560.00,0.00,36,9652,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3903,10,Transport Fee,800.00,0.00,36,9653,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3904,8,Tuition Fee,2240.00,224.00,36,9654,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3904,9,Development Fee,560.00,56.00,36,9655,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3905,8,Tuition Fee,2240.00,0.00,36,9656,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3905,9,Development Fee,560.00,0.00,36,9657,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3906,8,Tuition Fee,2240.00,224.00,36,9658,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3906,9,Development Fee,560.00,56.00,36,9659,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3907,8,Tuition Fee,2240.00,0.00,36,9660,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3907,9,Development Fee,560.00,0.00,36,9661,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3907,10,Transport Fee,800.00,0.00,36,9662,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3908,8,Tuition Fee,2240.00,0.00,36,9663,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3908,9,Development Fee,560.00,0.00,36,9664,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3909,8,Tuition Fee,2240.00,0.00,36,9665,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3909,9,Development Fee,560.00,0.00,36,9666,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3910,8,Tuition Fee,2240.00,0.00,36,9667,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3910,9,Development Fee,560.00,0.00,36,9668,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3911,8,Tuition Fee,2240.00,0.00,36,9669,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3911,9,Development Fee,560.00,0.00,36,9670,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3911,10,Transport Fee,1100.00,0.00,36,9671,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3912,8,Tuition Fee,2240.00,0.00,36,9672,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3912,9,Development Fee,560.00,0.00,36,9673,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3913,8,Tuition Fee,2112.00,0.00,36,9674,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3913,9,Development Fee,528.00,0.00,36,9675,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3913,10,Transport Fee,1500.00,0.00,36,9676,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3914,8,Tuition Fee,2112.00,0.00,36,9677,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3914,9,Development Fee,528.00,0.00,36,9678,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3915,8,Tuition Fee,2112.00,0.00,36,9679,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3915,9,Development Fee,528.00,0.00,36,9680,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3916,8,Tuition Fee,2112.00,0.00,36,9681,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3916,9,Development Fee,528.00,0.00,36,9682,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3917,8,Tuition Fee,2112.00,0.00,36,9683,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3917,9,Development Fee,528.00,0.00,36,9684,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3917,10,Transport Fee,1100.00,0.00,36,9685,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3918,8,Tuition Fee,2112.00,0.00,36,9686,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3918,9,Development Fee,528.00,0.00,36,9687,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3919,8,Tuition Fee,2112.00,0.00,36,9688,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3919,9,Development Fee,528.00,0.00,36,9689,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3920,8,Tuition Fee,2112.00,0.00,36,9690,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3920,9,Development Fee,528.00,0.00,36,9691,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3921,8,Tuition Fee,2112.00,0.00,36,9692,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
3921,9,Development Fee,528.00,0.00,36,9693,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
