enrolment_id,academic_year_id,invoice_no,period_month,period_year,issued_on,due_date,status,settled_on,void_reason,school_id,id,created_at,updated_at
300,49,SPS/INV/2026/000003,6,2026,2026-06-01,2026-06-10,overdue,,,36,3905,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
303,49,SPS/INV/2026/000006,6,2026,2026-06-01,2026-06-10,overdue,,,36,3908,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
306,49,SPS/INV/2026/000009,6,2026,2026-06-01,2026-06-10,overdue,,,36,3911,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
310,49,SPS/INV/2026/000013,6,2026,2026-06-01,2026-06-10,overdue,,,36,3915,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
313,49,SPS/INV/2026/000016,6,2026,2026-06-01,2026-06-10,overdue,,,36,3918,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
316,49,SPS/INV/2026/000019,6,2026,2026-06-01,2026-06-10,overdue,,,36,3921,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
320,49,SPS/INV/2026/000023,6,2026,2026-06-01,2026-06-10,overdue,,,36,3925,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
323,49,SPS/INV/2026/000026,6,2026,2026-06-01,2026-06-10,overdue,,,36,3928,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
326,49,SPS/INV/2026/000029,6,2026,2026-06-01,2026-06-10,overdue,,,36,3931,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
330,49,SPS/INV/2026/000033,6,2026,2026-06-01,2026-06-10,overdue,,,36,3935,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
333,49,SPS/INV/2026/000036,6,2026,2026-06-01,2026-06-10,overdue,,,36,3938,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
336,49,SPS/INV/2026/000039,6,2026,2026-06-01,2026-06-10,overdue,,,36,3941,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
340,49,SPS/INV/2026/000043,6,2026,2026-06-01,2026-06-10,overdue,,,36,3945,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
343,49,SPS/INV/2026/000046,6,2026,2026-06-01,2026-06-10,overdue,,,36,3948,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
346,49,SPS/INV/2026/000049,6,2026,2026-06-01,2026-06-10,overdue,,,36,3951,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
350,49,SPS/INV/2026/000053,6,2026,2026-06-01,2026-06-10,overdue,,,36,3955,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
353,49,SPS/INV/2026/000056,6,2026,2026-06-01,2026-06-10,overdue,,,36,3958,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
356,49,SPS/INV/2026/000059,6,2026,2026-06-01,2026-06-10,overdue,,,36,3961,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:20.249531+05:30
299,49,SPS/INV/2026/000002,6,2026,2026-06-01,2026-06-10,paid,2026-09-21,,36,3904,2026-09-21 13:43:20.249531+05:30,2026-09-21 13:43:22.347259+05:30
