enrolment_id,receipt_no,amount,method,instrument_ref,received_at,received_by,idempotency_key,status,reverses_payment_id,reason,school_id,id,created_at,updated_at
298,SPS/RCP/2026/000001,3600.00,cash,,2026-06-10 16:30:00+05:30,,seed-3903,success,,,36,207,2026-09-21 13:43:22.177303+05:30,2026-09-21 13:43:22.177303+05:30
298,SPS/RCP/2026/000002,5400.00,cash,,2026-07-10 16:30:00+05:30,,seed-4003,success,,,36,208,2026-09-21 13:43:22.259178+05:30,2026-09-21 13:43:22.259178+05:30
299,SPS/RCP/2026/000003,2520.00,cash,,2026-06-10 16:30:00+05:30,,seed-3904,success,,,36,209,2026-09-21 13:43:22.293263+05:30,2026-09-21 13:43:22.293263+05:30
299,SPS/RCP/2026/000004,3780.00,cash,,2026-07-10 16:30:00+05:30,,seed-4004,success,,,36,210,2026-09-21 13:43:22.347259+05:30,2026-09-21 13:43:22.347259+05:30
299,SPS/RCP/2026/000005,1890.00,upi,,2026-08-10 17:30:00+05:30,,seed-part-4104,success,,,36,211,2026-09-21 13:43:22.379216+05:30,2026-09-21 13:43:22.379216+05:30
301,SPS/RCP/2026/000006,2520.00,cash,,2026-06-10 16:30:00+05:30,,seed-3906,success,,,36,212,2026-09-21 13:43:22.408397+05:30,2026-09-21 13:43:22.408397+05:30
301,SPS/RCP/2026/000007,3780.00,cash,,2026-07-10 16:30:00+05:30,,seed-4006,success,,,36,213,2026-09-21 13:43:22.454164+05:30,2026-09-21 13:43:22.454164+05:30
302,SPS/RCP/2026/000008,3600.00,cash,,2026-06-10 16:30:00+05:30,,seed-3907,success,,,36,214,2026-09-21 13:43:22.481359+05:30,2026-09-21 13:43:22.481359+05:30
302,SPS/RCP/2026/000009,5400.00,cash,,2026-07-10 16:30:00+05:30,,seed-4007,success,,,36,215,2026-09-21 13:43:22.523871+05:30,2026-09-21 13:43:22.523871+05:30
302,SPS/RCP/2026/000010,2700.00,upi,,2026-08-10 17:30:00+05:30,,seed-part-4107,success,,,36,216,2026-09-21 13:43:22.548628+05:30,2026-09-21 13:43:22.548628+05:30
304,SPS/RCP/2026/000011,2800.00,cash,,2026-06-10 16:30:00+05:30,,seed-3909,success,,,36,217,2026-09-21 13:43:22.572473+05:30,2026-09-21 13:43:22.572473+05:30
304,SPS/RCP/2026/000012,4200.00,cash,,2026-07-10 16:30:00+05:30,,seed-4009,success,,,36,218,2026-09-21 13:43:22.612112+05:30,2026-09-21 13:43:22.612112+05:30
305,SPS/RCP/2026/000013,2800.00,cash,,2026-06-10 16:30:00+05:30,,seed-3910,success,,,36,219,2026-09-21 13:43:22.637748+05:30,2026-09-21 13:43:22.637748+05:30
305,SPS/RCP/2026/000014,4200.00,cash,,2026-07-10 16:30:00+05:30,,seed-4010,success,,,36,220,2026-09-21 13:43:22.675336+05:30,2026-09-21 13:43:22.675336+05:30
305,SPS/RCP/2026/000015,2100.00,upi,,2026-08-10 17:30:00+05:30,,seed-part-4110,success,,,36,221,2026-09-21 13:43:22.699001+05:30,2026-09-21 13:43:22.699001+05:30
307,SPS/RCP/2026/000016,2800.00,cash,,2026-06-10 16:30:00+05:30,,seed-3912,success,,,36,222,2026-09-21 13:43:22.722163+05:30,2026-09-21 13:43:22.722163+05:30
307,SPS/RCP/2026/000017,4200.00,cash,,2026-07-10 16:30:00+05:30,,seed-4012,success,,,36,223,2026-09-21 13:43:22.759120+05:30,2026-09-21 13:43:22.759120+05:30
308,SPS/RCP/2026/000018,4140.00,cash,,2026-06-10 16:30:00+05:30,,seed-3913,success,,,36,224,2026-09-21 13:43:22.783368+05:30,2026-09-21 13:43:22.783368+05:30
308,SPS/RCP/2026/000019,6210.00,cash,,2026-07-10 16:30:00+05:30,,seed-4013,success,,,36,225,2026-09-21 13:43:22.820077+05:30,2026-09-21 13:43:22.820077+05:30
309,SPS/RCP/2026/000020,2640.00,cash,,2026-06-10 16:30:00+05:30,,seed-3914,success,,,36,226,2026-09-21 13:43:22.854552+05:30,2026-09-21 13:43:22.854552+05:30
309,SPS/RCP/2026/000021,3960.00,cash,,2026-07-10 16:30:00+05:30,,seed-4014,success,,,36,227,2026-09-21 13:43:22.917796+05:30,2026-09-21 13:43:22.917796+05:30
309,SPS/RCP/2026/000022,1980.00,upi,,2026-08-10 17:30:00+05:30,,seed-part-4114,success,,,36,228,2026-09-21 13:43:22.955376+05:30,2026-09-21 13:43:22.955376+05:30
311,SPS/RCP/2026/000023,2640.00,cash,,2026-06-10 16:30:00+05:30,,seed-3916,success,,,36,229,2026-09-21 13:43:22.984592+05:30,2026-09-21 13:43:22.984592+05:30
311,SPS/RCP/2026/000024,3960.00,cash,,2026-07-10 16:30:00+05:30,,seed-4016,success,,,36,230,2026-09-21 13:43:23.025520+05:30,2026-09-21 13:43:23.025520+05:30
312,SPS/RCP/2026/000025,3740.00,cash,,2026-06-10 16:30:00+05:30,,seed-3917,success,,,36,231,2026-09-21 13:43:23.050046+05:30,2026-09-21 13:43:23.050046+05:30
312,SPS/RCP/2026/000026,5610.00,cash,,2026-07-10 16:30:00+05:30,,seed-4017,success,,,36,232,2026-09-21 13:43:23.089814+05:30,2026-09-21 13:43:23.089814+05:30
312,SPS/RCP/2026/000027,2805.00,upi,,2026-08-10 17:30:00+05:30,,seed-part-4117,success,,,36,233,2026-09-21 13:43:23.114443+05:30,2026-09-21 13:43:23.114443+05:30
