fee_plan_id,fee_head_id,amount,frequency,school_id,id,created_at,updated_at
11,8,2240.00,monthly,36,41,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
11,9,560.00,monthly,36,42,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
11,10,0.00,monthly,36,43,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
12,8,2112.00,monthly,36,44,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
12,9,528.00,monthly,36,45,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
12,10,0.00,monthly,36,46,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
13,8,1984.00,monthly,36,47,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
13,9,496.00,monthly,36,48,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
13,10,0.00,monthly,36,49,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
14,8,1856.00,monthly,36,50,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
14,9,464.00,monthly,36,51,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
14,10,0.00,monthly,36,52,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
15,8,1728.00,monthly,36,53,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
15,9,432.00,monthly,36,54,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
15,10,0.00,monthly,36,55,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
16,8,1600.00,monthly,36,56,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
16,9,400.00,monthly,36,57,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
16,10,0.00,monthly,36,58,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
17,8,1472.00,monthly,36,59,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
17,9,368.00,monthly,36,60,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
17,10,0.00,monthly,36,61,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
18,8,1344.00,monthly,36,62,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
18,9,336.00,monthly,36,63,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
18,10,0.00,monthly,36,64,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
19,8,1216.00,monthly,36,65,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
19,9,304.00,monthly,36,66,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
19,10,0.00,monthly,36,67,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
20,8,1088.00,monthly,36,68,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
20,9,272.00,monthly,36,69,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
20,10,0.00,monthly,36,70,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
