code,module,action,description,id,created_at,updated_at
students.profile.read,students,read,View student profiles,183,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
students.profile.write,students,write,Create and edit students,184,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
students.profile.export,students,export,Export student data in bulk,185,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
students.enrolment.promote,students,promote,Run year-end promotion,186,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
academics.class.read,academics,read,View classes and sections,187,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
academics.class.write,academics,write,Create and edit classes and sections,188,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
attendance.record.read,attendance,read,View attendance,189,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
attendance.record.mark,attendance,mark,Mark attendance,190,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
attendance.record.correct,attendance,correct,Correct attendance after the fact,191,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
timetable.slot.read,timetable,read,View timetables,192,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
timetable.slot.write,timetable,write,Build and edit the timetable,193,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
timetable.slot.override,timetable,override,Schedule past a teacher's maximum weekly load,194,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
timetable.substitution.manage,timetable,manage,Arrange cover for an absent teacher,195,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam.definition.read,exam,read,View exams and datesheets,196,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam.definition.write,exam,write,Create exams and schedule papers,197,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam.marks.read,exam,read,View marks,198,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam.marks.enter,exam,enter,Enter marks,199,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam.marks.manage_any,exam,manage_any,"View and enter marks for any paper, not only one's own subjects",200,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam.marks.lock,exam,lock,"Close marks entry on a paper, and reopen it",201,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam.marks.override,exam,override,"Change a mark after the paper is locked, with a reason",202,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam.result.publish,exam,publish,Publish results and report cards,203,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
fees.setup.manage,fees,manage,"Define fee heads, plans and student assignments",204,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
fees.invoice.read,fees,read,View invoices and dues,205,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
