name,category,location,unit,current_quantity,min_quantity,unit_cost,is_critical,has_discrepancy,discrepancy_notes,last_checked_at,last_checked_by_id,school_id,id,created_at,updated_at
Printer Paper A4 (75 GSM),Stationery,Admin Store,reams,2,10,280.00,True,False,,2026-08-30 17:00:00+05:30,399,36,34,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
First-aid Supplies & Antiseptic Kits,Medical Room,Medical Room,kits,1,5,450.00,True,False,,2026-08-30 17:00:00+05:30,399,36,35,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
Science Chemicals (Titration Reagents),Science Lab,Science Lab,bottles,2,12,320.00,True,False,,2026-08-30 17:00:00+05:30,399,36,36,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
Hydrochloric Acid 500ml,Science Lab,Science Lab,bottles,3,8,180.00,False,False,,2026-08-30 17:00:00+05:30,399,36,37,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
Copper Sulphate Crystals 250g,Science Lab,Science Lab,bottles,4,10,150.00,False,False,,2026-08-30 17:00:00+05:30,399,36,38,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
Litmus Solution (Blue & Red),Science Lab,Science Lab,bottles,2,6,90.00,False,False,,2026-08-30 17:00:00+05:30,399,36,39,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
Sodium Hydroxide Pellets 500g,Science Lab,Science Lab,bottles,16,6,220.00,False,False,,2026-08-30 17:00:00+05:30,399,36,40,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
Borosil Glass Beakers 250ml,Science Lab,Science Lab,pieces,8,20,85.00,False,False,,2026-08-30 17:00:00+05:30,399,36,41,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
Test Tubes Pyrex (Pack of 50),Science Lab,Science Lab,boxes,3,10,350.00,False,True,Physical audit found 1 box damaged and 1 box missing after term practicals,2026-08-30 17:00:00+05:30,399,36,42,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
Conical Flasks 500ml,Science Lab,Science Lab,pieces,14,10,110.00,False,False,,2026-08-30 17:00:00+05:30,399,36,43,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
