class_section_id,day_of_week,period_id,subject_id,teacher_id,room,school_id,id,created_at,updated_at
48,mon,12,40,54,R-102,36,306,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,mon,12,36,49,R-201,36,307,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,mon,12,35,51,R-202,36,308,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,mon,12,34,45,Lab-1,36,309,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,mon,12,33,47,Lab-2,36,310,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,mon,12,32,55,R-101,36,311,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,mon,12,39,48,,36,312,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,mon,12,37,50,,36,313,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,mon,12,38,53,,36,314,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,mon,12,34,56,,36,315,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
48,tue,12,32,46,R-102,36,316,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,tue,12,40,54,R-201,36,317,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,tue,12,36,49,R-202,36,318,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,tue,12,35,51,Lab-1,36,319,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,tue,12,34,45,Lab-2,36,320,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,tue,12,33,52,R-101,36,321,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,tue,12,32,55,,36,322,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,tue,12,39,48,,36,323,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,tue,12,37,50,,36,324,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,tue,12,38,53,,36,325,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
48,wed,12,33,47,R-102,36,326,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,wed,12,32,46,R-201,36,327,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,wed,12,40,54,R-202,36,328,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,wed,12,36,49,Lab-1,36,329,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,wed,12,35,51,Lab-2,36,330,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,wed,12,34,56,R-101,36,331,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,wed,12,33,52,,36,332,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,wed,12,32,55,,36,333,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,wed,12,39,48,,36,334,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,wed,12,37,50,,36,335,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
